flt_date,flt_no,a,b,c,aircraft,ab_pax,bc_pax,ac_pax,ab_duration,bc_duration,ac_duration
2023-02-25,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.53,4.53,2.0,90,63,76
2023-02-26,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.38,1.98,84,69,92
2023-02-27,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.37,4.29,1.92,65,78,71
2023-02-28,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.37,4.34,1.97,93,49,98
2023-03-01,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.27,1.87,97,33,120
2023-03-02,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.62,5.07,2.45,72,51,98
2023-03-03,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.52,4.79,2.27,101,34,123
2023-03-04,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.53,4.48,1.95,73,60,76
2023-03-05,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.82,4.84,2.02,80,62,85
2023-03-06,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.72,4.59,1.87,90,51,89
2023-03-07,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.65,4.58,1.93,94,31,112
2023-03-08,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.7,4.77,2.07,72,41,116
2023-03-09,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.67,4.7,2.03,95,25,138
2023-03-10,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.52,4.44,1.92,99,57,86
2023-03-11,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.33,1.95,109,52,95
2023-03-12,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.58,4.66,2.08,80,48,111
2023-03-13,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.58,4.68,2.1,95,50,87
2023-03-14,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.58,4.5,1.92,81,56,90
2023-03-15,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.57,4.5,1.93,66,78,75
2023-03-16,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.37,4.1,1.73,71,47,110
2023-03-17,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.62,4.49,1.87,69,56,102
