flt_no,flt_date,original_ab_price,original_bc_price,original_ac_price,original_ab_revenue,original_bc_revenue,original_ac_revenue,original_total_revenue,optimal_ab_price,optimal_bc_price,optimal_ac_price,predicted_ab_pax,predicted_bc_pax,predicted_ac_pax,allocated_ab_seats,allocated_bc_seats,allocated_ac_seats,expected_revenue,revenue_improvement,revenue_improvement_amount
0Si6SFgmOVk=,2024-06-11,469.4024390243902,439.970297029703,661.3529411764706,38491.0,44437.0,22486.0,105414.0,1051,1677,2559,95,83,24,137,137,35,300452,185.0209649572163,195038.0
UP3f8DXb3Y4=,2024-06-02,337.6880733944954,307.2043010752688,602.9,36808.0,28570.0,24116.0,89494.0,1137,1017,1235,100,108,39,125,125,45,271701,203.59688917692807,182207.0
4j4UF9IpYFE=,2024-06-10,682.9180327868852,533.2125,916.5,41658.0,42657.0,1833.0,86148.0,1402,897,1976,72,70,9,80,80,10,181518,110.70483354227609,95370.0
9iVtw/tqFMY=,2024-06-27,529.987012987013,480.9555555555556,1352.0,81618.0,64929.0,1352.0,147899.0,956,1071,1479,154,140,10,148,148,10,306218,107.04534851486487,158319.0
b+ZrZfg+YD0=,2024-06-07,404.2127659574468,379.4343434343434,548.1818181818181,37996.0,37564.0,30150.0,105710.0,961,892,1925,74,78,46,107,107,63,229240,116.85744016649325,123530.0
cooqjrrYmcQ=,2024-06-20,390.95238095238096,527.8723404255319,370.19417475728153,16420.0,24810.0,38130.0,79360.0,863,1140,1427,73,55,82,81,81,91,242713,205.83795362903228,163353.0
46GZYhn0Gns=,2024-06-25,496.2307692307692,442.109375,387.8,70961.0,56590.0,1939.0,129490.0,1390,954,1556,146,142,20,155,155,21,369528,185.37184338558964,240038.0
2A5zV0FFer0=,2024-06-13,855.9597315436241,929.3586206896553,1576.0,127538.0,134757.0,3152.0,265447.0,1648,1628,1889,127,106,0,158,158,0,381864,43.856965797315475,116417.0
RamUUAaL76s=,2024-06-24,533.10101010101,333.7260273972603,736.5833333333334,52777.0,24362.0,26517.0,103656.0,1106,861,1299,100,102,33,128,128,42,241289,132.77861387666897,137633.0
RUWE5NURwBU=,2024-06-23,492.8067226890756,243.14615384615385,399.0,58644.0,31609.0,10773.0,101026.0,1300,868,1754,125,131,20,164,164,25,311288,208.1266208698751,210262.0
TteXIliXCb4=,2024-06-20,670.0,375.0,730.4615384615385,54940.0,28875.0,47480.0,131295.0,1116,725,1338,99,93,26,125,125,33,212697,61.99931452073575,81402.0
0fzIohr1t8A=,2024-06-12,554.6753246753246,734.1772151898734,721.875,42710.0,58000.0,34650.0,135360.0,1127,2033,2135,76,77,11,133,133,19,265678,96.27511820330969,130318.0
/KrxMK18TcE=,2024-06-29,587.224,505.51851851851853,1323.1851851851852,73403.0,40947.0,35726.0,150076.0,946,1304,1842,108,101,36,132,132,44,300184,100.02132252991818,150108.0
Ox5waQXS5n0=,2024-06-30,220.1217391304348,847.6728971962617,880.8771929824561,25314.0,90701.0,50210.0,166225.0,704,1399,1509,101,108,27,147,147,37,262939,58.18258384719507,96714.0
yXl0aXixg6U=,2024-06-27,744.5376344086021,580.5779816513761,764.4285714285714,69242.0,63283.0,32106.0,164631.0,1390,1392,1758,106,132,20,137,137,21,366244,122.46357004452382,201613.0
thAyTdk2Km0=,2024-06-03,237.47916666666663,469.0595238095238,542.8823529411765,11399.0,39401.0,18458.0,69258.0,1008,1479,2015,68,67,17,126,126,32,201892,191.50711831124204,132634.0
5OoYixRFr/M=,2024-06-24,457.2950819672131,808.5566037735849,954.782608695652,27895.0,85707.0,21960.0,135562.0,1174,1541,1665,73,88,40,109,109,49,287910,112.38252607662915,152348.0
JGGMYB6axvA=,2024-06-04,234.13793103448276,200.0,476.7407407407408,6790.0,3600.0,25744.0,36134.0,418,666,801,16,18,14,50,50,39,29890,-17.280123982952343,-6244.0
Eiprv5pN+Ps=,2024-06-07,511.9548872180451,754.07299270073,666.875,68090.0,103308.0,21340.0,192738.0,1300,1367,2639,97,97,32,131,131,43,343147,78.03806203239631,150409.0
hyiczHOd8J0=,2024-06-16,562.3714285714286,546.5555555555555,1114.5,98415.0,98380.0,22290.0,219085.0,1956,2334,2698,191,201,0,210,210,0,842730,284.65892233607957,623645.0
/TwWiQK1thk=,2024-06-12,412.05882352941177,563.7241379310345,491.9767441860465,7005.0,16348.0,21155.0,44508.0,712,609,746,27,29,37,39,39,50,64487,44.88855936011504,19979.0
yp7NJzv8G6Q=,2024-06-21,781.9090909090909,498.1012658227848,1343.3333333333333,129015.0,78700.0,4030.0,211745.0,1114,955,1715,157,154,26,154,154,22,356356,68.29488299605659,144611.0
yz5AIMVAhgM=,2024-06-02,660.375,283.3333333333333,737.5625,79245.0,33150.0,23602.0,135997.0,1491,1263,1878,120,108,34,137,137,39,379176,178.81203261836657,243179.0
eXk1TnH7GKE=,2024-06-03,973.8415841584158,762.0326086956521,1087.8,98358.0,70107.0,97902.0,266367.0,1603,1667,2676,114,102,38,146,146,49,454464,70.61572942594239,188097.0
s6h11a3TwEc=,2024-06-26,456.5112781954887,763.3650793650794,850.4791666666666,60716.0,96184.0,40823.0,197723.0,2005,1657,2195,158,137,26,158,158,26,600869,203.89433702705298,403146.0
cZabAmK+rUU=,2024-06-30,992.3846153846154,562.5431034482758,1072.4186046511627,103208.0,65255.0,46114.0,214577.0,1393,864,1544,110,114,46,125,125,51,322750,50.41220634084734,108173.0
w0ig6LUIXhU=,2024-06-13,492.2597402597403,1347.6913580246917,1426.943820224719,37904.0,109163.0,126998.0,274065.0,1260,2437,3289,108,101,28,140,140,36,474309,73.06441902468393,200244.0
jv5VnxQxNMk=,2024-06-21,1219.428571428571,457.4805194805195,1442.75,93896.0,35226.0,51939.0,181061.0,2231,1095,2419,72,79,29,94,94,34,317288,75.2381793981034,136227.0
W9ftKdDoYuU=,2024-06-07,460.7,348.7,301.5242718446602,13821.0,10461.0,31057.0,55339.0,806,666,1366,48,36,58,69,69,83,141892,156.40506695097488,86553.0
uLg75/iIr28=,2024-06-28,2042.6805555555557,729.1510791366907,1615.6666666666667,294146.0,101352.0,48470.0,443968.0,2577,955,2710,147,124,7,168,168,8,516209,16.271668228340783,72241.0
sJJy/KlvEeg=,2024-06-04,284.73770491803276,599.3636363636364,208.0612244897959,17369.0,13186.0,20390.0,50945.0,1122,1236,1350,67,39,94,72,72,100,250278,391.2709785062322,199333.0
8UPKqRvrBug=,2024-06-04,587.3483870967742,274.09420289855075,862.1666666666666,91039.0,37825.0,10346.0,139210.0,1277,1282,2091,138,120,43,132,132,43,412317,196.18346383162128,273107.0
6dBbXgwAkPo=,2024-06-24,385.3896103896104,425.0344827586207,1008.0,59350.0,61630.0,8064.0,129044.0,1128,1149,1956,152,159,70,152,152,58,459552,256.12039304423297,330508.0
m0M+YC4pnZE=,2024-06-24,571.1012658227849,481.5462962962963,714.7058823529412,45117.0,52007.0,36450.0,133574.0,1134,1277,1807,97,102,71,104,104,72,368549,175.91372572506626,234975.0
U4HjKxV2Z0o=,2024-06-11,1137.625,637.6923076923077,1595.1764705882354,45505.0,24870.0,135590.0,205965.0,1296,1401,1519,55,55,45,70,70,58,216690,5.207195397276236,10725.0
748sRlxutZc=,2024-06-05,311.87394957983196,692.9929078014185,1005.0,37113.0,97712.0,8040.0,142865.0,1115,1432,1983,106,107,35,128,128,42,340819,138.56017919014454,197954.0
67nvE/DFUBM=,2024-06-16,481.7567567567568,813.360824742268,745.5094339622641,35650.0,78896.0,39512.0,154058.0,1188,1609,2044,88,93,6,148,148,10,266445,72.95109634033935,112387.0
FNFR9qKCc8w=,2024-06-20,575.5917159763313,289.80405405405406,636.8235294117648,97275.0,42891.0,10826.0,150992.0,1669,905,2101,170,144,0,189,189,0,414050,174.21982621595845,263058.0
PEJgbJwJoYY=,2024-06-16,580.0792079207921,373.3956043956044,683.7333333333333,58588.0,33979.0,41024.0,133591.0,1193,1046,1635,117,141,49,117,117,47,338808,153.615887297797,205217.0
DWrKm9m7tMI=,2024-06-05,401.91752577319585,563.8823529411765,384.3108108108109,38986.0,57516.0,28439.0,124941.0,958,1107,1229,135,125,40,142,142,42,316865,153.61170472463002,191924.0
Ng6yvZIsFvg=,2024-06-27,628.3013698630137,852.3561643835617,1215.142857142857,91732.0,124444.0,17012.0,233188.0,1729,1697,1839,118,122,19,151,151,23,445997,91.2606995214162,212809.0
VX3QXR9p7ow=,2024-06-30,733.9485294117648,2321.8214285714284,2657.1428571428573,99817.0,325055.0,18600.0,443472.0,1199,2712,3456,126,131,30,143,143,33,610026,37.55682433163762,166554.0
84DfLZSJLGI=,2024-06-22,208.91666666666663,944.65873015873,1316.4,17549.0,119027.0,46074.0,182650.0,864,1828,1842,70,77,29,119,119,45,254654,39.42184505885574,72004.0
spBOJP7x0a0=,2024-06-09,968.0941176470589,294.9855072463768,1286.5666666666666,82288.0,20354.0,38597.0,141239.0,2413,953,3016,110,105,53,111,111,53,525343,271.9532140556079,384104.0
1oJT7bgIUKA=,2024-06-01,494.44736842105266,357.4246575342466,779.5714285714286,56367.0,52184.0,21828.0,130379.0,1039,1040,1273,130,163,32,166,166,32,345326,164.86320649797898,214947.0
A4tgQv5cqkc=,2024-06-11,354.8484848484849,406.7230769230769,588.4158415841584,11710.0,26437.0,59430.0,97577.0,899,776,2052,25,43,90,55,55,115,240523,146.49558809965464,142946.0
Eq5x2tN2yHg=,2024-06-19,1683.2666666666669,786.7745098039215,2084.0625,252490.0,80251.0,33345.0,366086.0,2876,1657,3449,125,99,26,146,146,30,613217,67.50626901875516,247131.0
iakjNH9eRXk=,2024-06-29,615.8,734.4159292035398,836.9375,46185.0,82989.0,53564.0,182738.0,1123,1517,1828,91,110,44,130,130,52,349495,91.25469251058892,166757.0
YiQGOsyzNIg=,2024-06-25,715.4533333333334,428.8974358974359,856.0,53659.0,33454.0,37664.0,124777.0,1432,1378,1989,68,65,14,106,106,22,214792,72.14069900702854,90015.0
UtQS7zbhjik=,2024-06-18,275.0,385.8666666666667,376.41747572815535,15400.0,28940.0,38771.0,83111.0,736,696,1282,60,96,66,110,110,76,195588,135.333469697152,112477.0
UmbWV+pmZL8=,2024-06-27,306.2903225806452,902.5242718446602,801.081081081081,18990.0,92960.0,29640.0,141590.0,757,1549,1732,43,69,19,129,129,35,172340,21.717635426230668,30750.0
Td+wVTCGozE=,2024-06-20,570.4590163934427,591.1428571428571,793.7349397590361,34798.0,41380.0,65880.0,142058.0,1184,1584,2268,95,82,25,125,125,33,299068,110.52527840741107,157010.0
pm0KWvayLyQ=,2024-06-16,433.1914893617021,930.5309734513274,768.1818181818181,20360.0,105150.0,8450.0,133960.0,813,1308,1322,46,96,2,131,131,3,165610,23.626455658405494,31650.0
G39fI0jZ+0U=,2024-06-20,431.25,551.7142857142857,771.9285714285714,3450.0,19310.0,43228.0,65988.0,964,1223,1837,34,31,44,77,77,99,151517,129.61295993210885,85529.0
dK7m5F3VHN4=,2024-06-16,191.72413793103448,664.1428571428571,621.8350515463917,5560.0,46490.0,60318.0,112368.0,602,1508,1605,52,68,88,82,82,107,275088,144.80991029474583,162720.0
p3spkNHRfrw=,2024-06-11,598.2978723404256,627.0967741935484,644.4444444444445,56240.0,58320.0,52200.0,166760.0,1225,1346,1711,77,75,67,96,96,84,309912,85.8431278484049,143152.0
Z6So3vHfiQM=,2024-06-15,833.4731182795699,334.1511627906977,564.0697674418604,77513.0,28737.0,24255.0,130505.0,1362,434,1630,105,98,27,126,126,32,229552,75.89517643002183,99047.0
M4UE2XgwipE=,2024-06-08,478.53389830508473,929.359375,1036.851851851852,56467.0,59479.0,27995.0,143941.0,1114,1635,1835,133,120,24,149,149,27,388402,169.83416816612362,244461.0
s41THQLO3F0=,2024-06-16,668.4782608695652,519.6330275229358,777.8333333333334,61500.0,56640.0,23335.0,141475.0,1340,1102,1711,118,111,51,111,111,47,351479,148.43894681039055,210004.0
+2OUR9mFJuw=,2024-06-12,662.4173913043478,451.1271186440678,810.3095238095239,76178.0,53233.0,34033.0,163444.0,1647,1293,1835,104,108,2,163,163,3,314602,92.48305229925846,151158.0
YYiSsATUt4g=,2024-06-25,303.18518518518516,595.3076923076923,605.8536585365854,40930.0,77390.0,24840.0,143160.0,787,1227,1313,145,155,21,159,159,21,331873,131.8196423582006,188713.0
qkDF/+ELne8=,2024-06-13,437.6470588235294,322.5,436.1475409836066,14880.0,7740.0,53210.0,75830.0,1128,620,1542,45,43,83,63,63,117,205406,170.8769616246868,129576.0
WAcxh1JYywg=,2024-06-20,945.311377245509,704.8411764705883,1274.2857142857142,157867.0,119823.0,8920.0,286610.0,1942,1662,2572,145,135,25,154,154,26,570260,98.96723770977984,283650.0
l0Cpo80mBi8=,2024-06-27,290.0,384.1578947368421,832.2894736842105,8410.0,7299.0,31627.0,47336.0,790,804,950,35,44,30,54,54,36,91526,93.35389555517999,44190.0
q/HT5qZlz1U=,2024-06-01,652.1008403361344,768.8190476190476,1052.7906976744189,77600.0,80726.0,45270.0,203596.0,1370,1667,2006,100,89,39,127,127,49,363597,78.5874968074029,160001.0
AAThChrENWM=,2024-06-27,1007.516129032258,887.2068965517242,1610.0,156165.0,128645.0,16100.0,300910.0,1975,1610,2369,147,137,20,153,153,21,558275,85.5288956830946,257365.0
nVzCA6B1ygc=,2024-06-17,465.0,187.5,545.0,2790.0,375.0,23435.0,26600.0,684,695,908,15,13,16,43,43,46,33823,27.154135338345863,7223.0
pDYycsjxP4M=,2024-06-23,667.7204301075269,407.83673469387753,625.2,62098.0,19984.0,31260.0,113342.0,1220,865,1259,73,79,71,87,87,79,246784,117.733937992977,133442.0
Pb/wYkWWzWo=,2024-06-12,277.31297709923666,296.008,495.3,36328.0,37001.0,14859.0,88188.0,779,961,1569,105,126,38,131,131,39,262503,197.66294733977412,174315.0
6Qy8VAqbyzg=,2024-06-25,675.4945054945055,630.7258064516129,872.5,61470.0,78210.0,34900.0,174580.0,1686,1112,2058,122,124,34,141,141,39,413552,136.8839500515523,238972.0
1CvLLY3aSAs=,2024-06-30,820.4545454545455,716.5263157894736,701.5384615384615,54150.0,68070.0,45600.0,167820.0,1881,1662,2177,127,103,13,149,149,15,438374,161.2167798832082,270554.0
RcKx5ecGN5I=,2024-06-14,251.35245901639345,244.16,560.36,30665.0,24416.0,14009.0,69090.0,834,852,1022,114,102,32,123,123,35,214684,210.73093067014042,145594.0
RBtpN0RKjLY=,2024-06-17,608.9560439560439,1355.7,1121.3809523809523,55415.0,122013.0,117745.0,295173.0,1439,2334,2427,141,144,44,161,161,49,645783,118.78118933642305,350610.0
2p33m5MTvw4=,2024-06-15,455.83916083916085,609.9701492537314,866.9583333333334,65185.0,81736.0,20807.0,167728.0,1245,742,1469,116,95,46,126,126,50,282484,68.41791471906897,114756.0
m/tPXed9XHg=,2024-06-08,247.78688524590163,677.1698113207547,846.9642857142857,15115.0,35890.0,23715.0,74720.0,753,1219,1328,47,56,21,69,69,26,131543,76.04791220556744,56823.0
UkWhIzr3srU=,2024-06-22,385.2628205128205,1069.8461538461538,1226.0454545454545,60101.0,166896.0,26973.0,253970.0,1342,2096,3349,135,141,6,181,181,8,496800,95.6136551561208,242830.0
c91Lyvki+xY=,2024-06-28,520.1847826086956,1017.7916666666666,1586.780487804878,47857.0,97708.0,130116.0,275681.0,1100,1760,2331,109,100,42,136,136,53,393802,42.846986190560834,118121.0
sLY2b4J3CCk=,2024-06-19,1192.1333333333334,817.8796296296297,794.8571428571429,125174.0,88331.0,22256.0,235761.0,1603,1700,2159,107,84,44,112,112,46,409317,73.61522898189267,173556.0
XLxRYBGLK24=,2024-06-11,397.20338983050846,493.97058823529414,412.82608695652175,46870.0,67180.0,9495.0,123545.0,717,1505,1725,123,125,31,141,141,35,329791,166.93998138330164,206246.0
pJEE2x8vrXk=,2024-06-04,418.8888888888889,506.3030303030303,593.4782608695652,26390.0,33416.0,40950.0,100756.0,822,1008,1359,83,87,32,111,111,41,199410,97.91377188455279,98654.0
TNogGJ8EQqY=,2024-06-04,454.0816326530612,385.55555555555554,438.64935064935065,22250.0,20820.0,33776.0,76846.0,997,967,1568,86,91,60,86,86,49,245736,219.77721677120473,168890.0
pCAG5xeZ3tc=,2024-06-10,1203.448275862069,482.3008849557522,1118.4615384615386,104700.0,54500.0,43620.0,202820.0,1952,1626,1962,119,114,16,139,139,19,449044,121.4002563849719,246224.0
8q7tYHLowlo=,2024-06-14,687.8828828828829,432.5486725663717,945.1698113207548,76355.0,48878.0,50094.0,175327.0,1526,864,1816,93,117,51,123,123,53,335622,91.42630627342052,160295.0
t8JPCrrv1lw=,2024-06-02,496.58666666666664,890.5185185185185,766.5833333333334,37244.0,72132.0,36796.0,146172.0,1399,1362,2924,82,80,59,97,97,70,396194,171.04643844238294,250022.0
EAbTHg60zZY=,2024-06-13,442.54545454545456,344.73118279569894,524.0625,38944.0,32060.0,8385.0,79389.0,972,1298,1474,77,140,1,133,133,1,248952,213.58500547934852,169563.0
s6h11a3TwEc=,2024-06-25,521.547770700637,666.9848484848485,872.0,81883.0,88042.0,20928.0,190853.0,2005,1657,2195,146,126,33,150,150,34,573947,200.7272612953425,383094.0
mifoIIftbTk=,2024-06-14,972.0196078431372,591.0373831775701,1026.0833333333333,99146.0,63241.0,61565.0,223952.0,1677,1721,1753,119,137,29,140,140,30,486177,117.08982281917555,262225.0
eEJpX8DMO/Y=,2024-06-11,457.6438356164384,303.1446540880503,1002.7272727272727,66816.0,48200.0,22060.0,137076.0,1191,1618,1750,144,137,34,149,149,35,452670,230.23286352096645,315594.0
0Ag+G5yfOf0=,2024-06-02,575.2748091603054,505.008547008547,1059.4193548387098,75361.0,59086.0,32842.0,167289.0,1411,1314,2219,154,130,25,154,154,25,443589,165.16328031131755,276300.0
hCH/hPKoqnI=,2024-06-17,655.5882352941177,1286.0645161290322,716.6666666666666,89160.0,159472.0,2150.0,250782.0,1207,1390,1841,128,134,28,130,130,28,386744,54.215214808080326,135962.0
filJuZYox/k=,2024-06-18,972.3853211009174,691.9615384615385,796.695652173913,105990.0,89955.0,18324.0,214269.0,1603,1596,2032,147,104,35,143,143,35,466333,117.63904251198261,252064.0
mhRPCz2OaoI=,2024-06-01,596.7313432835821,516.1052631578947,496.94444444444446,39981.0,39224.0,26835.0,106040.0,1649,1197,1947,72,92,18,132,132,26,263898,148.86646548472277,157858.0
EcVcEyCES+Q=,2024-06-25,372.968253968254,504.68,709.1724137931035,46994.0,63085.0,20566.0,130645.0,1010,811,1349,121,121,27,146,146,32,256764,96.5356500440124,126119.0
mzm27wcQCTk=,2024-06-05,347.05839416058393,964.574074074074,1224.0,47547.0,156261.0,13464.0,217272.0,1071,1333,1465,133,137,1,181,181,1,326529,50.28581685629073,109257.0
V3hoeSO14J4=,2024-06-25,381.9,896.7407407407408,825.047619047619,15276.0,48424.0,86630.0,150330.0,839,1664,2048,61,56,54,92,92,82,254955,69.59688684893234,104625.0
fQFzN7JC2WQ=,2024-06-30,604.0532544378698,418.62857142857143,788.0,102085.0,58608.0,10244.0,170937.0,1271,1081,1794,126,138,50,134,134,50,394700,130.90378326517958,223763.0
WLOkfQIknPQ=,2024-06-18,379.68840579710144,998.2739726027396,1890.5555555555557,52397.0,145748.0,34030.0,232175.0,997,1967,2025,129,129,20,145,145,23,422856,82.12813610423171,190681.0
M6h0CRxx1U4=,2024-06-18,718.2075471698113,469.6103896103896,655.8695652173913,76130.0,36160.0,30170.0,142460.0,1472,810,1514,115,114,20,135,135,23,291900,104.89962094623053,149440.0
LAQva9aJTZc=,2024-06-16,1060.045871559633,391.4044943820225,800.8571428571429,115545.0,34835.0,28030.0,178410.0,1651,1009,1886,103,114,61,103,103,55,377710,111.70898492236982,199300.0
3/HFy3qeyTc=,2024-06-15,404.6543778801843,1745.7674418604652,665.0,87810.0,375340.0,1330.0,464480.0,1353,2078,2429,166,143,5,220,220,7,533897,14.945099896658629,69417.0
sxQCnQ24xlk=,2024-06-19,559.1891891891892,560.0819672131148,645.0,62070.0,68330.0,15480.0,145880.0,1353,1299,1595,98,83,26,120,120,32,281881,93.22799561283247,136001.0
yZ0IDusLMTY=,2024-06-17,427.84415584415586,1142.0833333333333,870.4166666666666,32944.0,109640.0,52225.0,194809.0,1353,2444,3392,110,103,16,154,154,22,454834,133.4768927513616,260025.0
/SNN+GQaAmc=,2024-06-30,713.953488372093,245.61111111111111,1415.0,92100.0,30947.0,5660.0,128707.0,1747,639,2198,142,119,15,143,143,15,357085,177.44023246598863,228378.0
gk6TbOKubB8=,2024-06-13,608.7619047619048,476.0810810810811,1494.2105263157894,63920.0,35230.0,28390.0,127540.0,1538,1546,1635,88,82,10,115,115,13,278466,118.33620824839267,150926.0
ta40qTN7FPw=,2024-06-02,417.4074074074074,357.3191489361702,624.7260273972603,33810.0,33588.0,45605.0,113003.0,1108,921,1956,76,86,61,102,102,72,282730,150.19689742750194,169727.0
/UFbNJ7F/q4=,2024-06-23,473.3623188405797,525.4305555555555,1005.7962962962964,32662.0,37831.0,54313.0,124806.0,1078,1215,1283,83,63,23,133,133,37,195528,56.66554492572472,70722.0
wxAdO/SpuJU=,2024-06-09,850.1587301587301,432.2597402597403,659.1549295774648,53560.0,33284.0,46800.0,133644.0,1673,962,2572,77,67,79,86,86,88,396463,196.6560414234833,262819.0
lbxYntEGiH4=,2024-06-15,806.3673469387755,322.2173913043478,726.1682242990654,39512.0,14822.0,77700.0,132034.0,1753,747,1942,47,62,53,94,94,80,231631,75.4328430555766,99597.0
fQFzN7JC2WQ=,2024-06-15,570.3875968992248,317.4296875,651.4814814814815,73580.0,40631.0,35180.0,149391.0,1271,1081,1794,116,131,53,131,131,53,384129,157.12994758720404,234738.0
9hiM9XnUIRE=,2024-06-21,514.758064516129,512.6890756302521,666.734693877551,63830.0,61010.0,32670.0,157510.0,994,1204,1445,142,153,18,161,161,19,351370,123.0778998158847,193860.0
Ax1KKP5EmMo=,2024-06-15,1270.372340425532,421.505376344086,1647.0754716981132,119415.0,39200.0,174590.0,333205.0,2266,1460,2564,114,142,11,195,195,15,493848,48.21146141264387,160643.0
3WvhHVy2Lrk=,2024-06-20,553.6,394.7058823529411,505.28846153846155,8304.0,6710.0,26275.0,41289.0,748,684,767,20,19,39,30,30,59,57869,40.15597374603405,16580.0
nlMo4TLkA3o=,2024-06-15,548.7818181818182,512.5555555555555,807.8727272727273,30183.0,36904.0,88866.0,155953.0,1322,1640,2268,91,67,54,115,115,69,352654,126.12838483389226,196701.0
WSWxERtHnuk=,2024-06-19,766.0567375886525,460.17857142857144,1115.0,108014.0,51540.0,4460.0,164014.0,1417,916,1866,142,110,28,136,136,28,345720,110.78688404648385,181706.0
rmGDA7YTs+k=,2024-06-21,451.3157894736842,552.4299065420561,641.3260869565217,34300.0,59110.0,29501.0,122911.0,1271,1103,1878,92,116,61,103,103,61,345099,180.771452514421,222188.0
2rAHhvSpztQ=,2024-06-18,455.9,549.6744186046511,480.9183673469388,18236.0,23636.0,47130.0,89002.0,1519,910,2095,27,32,68,56,56,120,212593,138.86317161412103,123591.0
4Nv1qRFm514=,2024-06-19,797.5849056603773,383.20454545454544,893.939393939394,84544.0,33722.0,59000.0,177266.0,1640,1306,1987,99,84,36,142,142,52,343596,93.8307402434759,166330.0
SSQrYJM3d1g=,2024-06-22,639.0568181818181,196.2463768115942,1028.5,112474.0,27082.0,8228.0,147784.0,1408,1138,1777,139,120,29,156,156,33,383805,159.70673415254697,236021.0
EZLCQvQ1/m4=,2024-06-06,721.9537037037037,344.8484848484849,625.8823529411765,77971.0,11380.0,31920.0,121271.0,1369,924,1975,77,38,88,81,81,93,314325,159.1922223779799,193054.0
IhdIxZjEGOk=,2024-06-02,355.2631578947368,390.5897435897436,659.4878048780488,13500.0,15233.0,27039.0,55772.0,1037,822,1362,60,46,21,67,67,23,128634,130.6426163666356,72862.0
8iEVQ1M/iaI=,2024-06-29,974.5072463768116,262.7121212121212,896.9186046511628,67241.0,17339.0,77135.0,161715.0,1458,460,1569,95,98,36,127,127,47,240074,48.45499799029157,78359.0
4vAUwNywfX4=,2024-06-02,681.7575757575758,248.5211267605634,380.0,112490.0,35290.0,1520.0,149300.0,2006,912,2337,111,127,20,152,152,24,385230,158.0241125251172,235930.0
lIbmUuqJl4s=,2024-06-11,387.3174603174603,718.5277777777778,730.1923076923077,24401.0,51734.0,37970.0,114105.0,980,1371,1682,76,88,1,127,127,1,196810,72.4814863502914,82705.0
t8JPCrrv1lw=,2024-06-30,759.0975609756098,1318.0232558139537,1447.926229508197,31123.0,56675.0,176647.0,264445.0,1399,1362,2924,107,91,59,113,113,63,446151,68.71220858779708,181706.0
/um44pu8fVM=,2024-06-15,2660.0,484.88461538461536,3021.824742268041,82460.0,25214.0,293117.0,400791.0,3130,640,3481,69,25,62,84,84,75,447792,11.727059739365405,47001.0
TKwErHNI0Z4=,2024-06-21,381.0287769784173,804.8299319727892,,52963.0,118310.0,0.0,171273.0,974,1386,1616,143,141,35,141,141,33,386088,125.42257098316722,214815.0
b3OWVGkaH0I=,2024-06-26,380.7547169811321,600.0,806.8648648648649,20180.0,38400.0,89562.0,148142.0,813,1138,1548,62,69,79,84,84,96,251220,69.58053759231008,103078.0
Nu7CicX/4uQ=,2024-06-12,407.2105263157895,392.4390243902439,726.5428571428571,46422.0,48270.0,25429.0,120121.0,921,787,1394,118,125,34,134,134,36,254449,111.82724086546065,134328.0
s2+SqlT9BoE=,2024-06-06,453.66161616161617,498.775,405.0,89825.0,99755.0,810.0,190390.0,1079,986,1457,165,162,26,180,180,28,375649,97.30500551499553,185259.0
9SaRFYJX0B0=,2024-06-25,341.2170542635659,641.6212121212121,1460.0,44017.0,84694.0,7300.0,136011.0,1359,1214,1598,115,105,4,153,153,5,290147,113.32612803376199,154136.0
D8T0nuJt1OA=,2024-06-07,926.0073529411764,416.06299212598424,899.0625,125937.0,52840.0,28770.0,207547.0,1416,1271,2698,98,91,34,129,129,45,346161,66.78680009829098,138614.0
YM1zKgyybPU=,2024-06-05,340.85593220338984,572.3495145631068,449.84,40221.0,58952.0,22492.0,121665.0,1305,1304,1955,113,109,30,134,134,36,348251,186.23761969342044,226586.0
VnKi37ngltQ=,2024-06-25,308.79545454545456,261.44444444444446,659.945205479452,13587.0,4706.0,48176.0,66469.0,594,295,891,62,28,54,65,65,57,93202,40.21874858956807,26733.0
6w9nKU7lyJQ=,2024-06-03,614.248,630.2619047619048,523.1538461538462,76781.0,52942.0,13602.0,143325.0,1363,955,1522,122,90,17,163,163,23,278110,94.04151404151403,134785.0
q9rwdFRJajs=,2024-06-09,528.3358778625955,645.28,479.8571428571428,69212.0,48396.0,6718.0,124326.0,1009,1055,1407,134,87,15,158,158,18,248096,99.55278863632707,123770.0
LdW6b9puRHs=,2024-06-06,515.047619047619,693.2233009708738,937.4285714285714,54080.0,71402.0,13124.0,138606.0,1317,1291,2102,92,92,37,92,92,36,315608,127.70154250176759,177002.0
nivILK8mImo=,2024-06-01,294.1666666666667,529.7727272727273,300.24719101123594,7060.0,34965.0,26722.0,68747.0,842,929,1239,57,42,80,70,70,98,186132,170.7492690590135,117385.0
5tzeHf5qCmc=,2024-06-23,388.22857142857146,608.28125,484.4,54352.0,77860.0,4844.0,137056.0,1041,997,1788,147,118,18,151,151,19,302857,120.97317884660286,165801.0
Y+cLE8FjHXw=,2024-06-30,454.3815789473685,761.8411214953271,919.0,34533.0,81517.0,10109.0,126159.0,725,922,927,104,102,18,121,121,21,186130,47.53604578349543,59971.0
TNogGJ8EQqY=,2024-06-06,489.2608695652174,454.2150537634408,338.93150684931504,45012.0,42242.0,24742.0,111996.0,997,967,1568,91,104,57,114,114,62,280671,150.60805743062252,168675.0
