航班日期,A,B,C,航段,航班号,距离天数,人数
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,17,39
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,17,27
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,17,27
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,17,26
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,16,40
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,16,39
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,16,27
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,16,27
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,16,26
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,15,25
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,15,24
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,15,27
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,15,27
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,15,26
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,14,25
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,14,24
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,14,27
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,14,27
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,14,26
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,13,25
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,13,24
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,13,29
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,13,29
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,13,28
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,12,25
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,12,24
